Player,Squad,league,Pos,Age,Gls,Ast,TklW,Int,pct_of_team_goals,league_position,creative_output_p90,rating
Andrea Ciofi,Cesena,Serie B,DF,26.0,0,2,31,27,0.0,11,0.6,52.5
Bradley Danger,Red Star,Ligue 2,"DF,MF",27.0,2,1,23,34,4.4,4,0.4,62.3
Julián Illanes,Carrarese,Serie B,DF,28.0,2,0,20,35,4.3,12,0.2,50.7
Caleb Okoli,Leicester City,Championship,DF,24.0,1,1,26,45,1.8,23,0.2,47.8
Raphael Odogwu,FC Südtirol,Serie B,FW,34.0,3,2,4,3,8.1,16,1.2,49.4
Adrien Julloux,Nancy,Ligue 2,"DF,MF",28.0,0,0,17,19,0.0,14,0.5,44.5
Antonio Di Nardo,Pescara,Serie B,FW,26.0,14,4,4,4,28.0,20,0.8,46.7
Yael Mouanga,Montpellier,Ligue 2,"DF,MF",20.0,0,0,20,17,0.0,8,0.1,54.4
João Othavio Basso,Cuiabá,Brazil Serie B,DF,29.0,2,1,10,26,16.7,14,,53.3
Gian-Luca Itter,Greuther Fürth,2. Bundesliga,"DF,MF",26.0,0,1,26,34,0.0,16,0.5,51.4
Nicolò Radaelli,Mantova,Serie B,"DF,MF",22.0,0,4,28,14,0.0,9,1.2,47.5
Andrew Hughes,Preston,Championship,DF,33.0,1,0,35,47,1.9,14,0.5,47.9
Bobby Thomas,Coventry City,Championship,DF,24.0,3,4,21,29,3.2,1,0.8,53.7
George Hirst,Ipswich Town,Championship,FW,26.0,11,3,8,1,14.9,2,0.5,57.2
Kenneth Schmidt,Düsseldorf,2. Bundesliga,DF,23.0,1,0,20,10,3.2,17,0.3,44.4
Ben Old,Saint-Étienne,Ligue 2,"DF,MF",22.0,1,2,23,25,1.7,2,,57.2
Natan Girma,Reggiana,Serie B,"FW,MF",23.0,3,2,19,5,8.6,18,1.1,45.8
Lukas Frenkert,BTSV,2. Bundesliga,DF,25.0,3,0,8,19,8.3,15,0.3,41.2
Christian Rasmussen,Düsseldorf,2. Bundesliga,"FW,MF",22.0,2,4,7,8,6.5,17,1.0,50.0
Moritz Heyer,Düsseldorf,2. Bundesliga,"DF,MF",30.0,0,0,17,5,0.0,17,0.2,39.7
Patrick,Botafogo (SP),Brazil Serie B,"DF,MF",29.0,2,3,19,19,10.0,15,,53.4
Dawid Kownacki,Hertha BSC,2. Bundesliga,FW,28.0,5,2,2,1,10.6,7,0.4,48.6
Márcio Silva,Ponte Preta,Brazil Serie B,DF,25.0,0,0,12,6,0.0,20,0.1,36.9
Andrea Tiritiello,Virtus Entella,Serie B,DF,30.0,7,0,22,30,19.4,14,0.3,49.2
Félix Tomi,Bastia,Ligue 2,"FW,MF",24.0,4,2,12,25,18.2,17,0.9,45.2
George Tanner,Bristol City,Championship,DF,25.0,0,0,53,24,0.0,12,0.3,55.9
Felix Götze,Paderborn 07,2. Bundesliga,DF,27.0,1,2,20,29,1.7,3,0.5,55.1
Geoffrey Kondo,USL Dunkerque,Ligue 2,DF,23.0,1,4,19,23,1.9,10,0.7,51.0
Gabriele Corbo,Pescara,Serie B,DF,25.0,0,0,9,11,0.0,20,0.1,42.0
Michael Smith,Preston,Championship,FW,33.0,3,1,7,1,5.6,14,0.3,42.7
